DAY,JOB_ID,ASSIGNED_PRINTER,PRINTING_START,PRINTING_FINISH,ASSIGNED_POSTPROCESS_WORKER,POSTPROCESSING_START,POSTPROCESSING_FINISH,ASSIGNED_PACKAGING_WORKER,PACKAGING_START,PACKAGING_FINISH
1,0,0,0,3,0,3,4,0,4,4.45
1,1,4,1,4,1,4,5,0,5,5.483333333333333
1,6,1,5,6,0,6,7,0,7,7.35
1,2,4,4,7,1,7,8,0,8,8.383333333333333
1,3,4,7,9,0,9,10,0,10,10.45
1,8,1,7,11,0,11,12,0,12,12.45
1,9,2,8,12,1,12,13,0,13,13.433333333333334
1,4,4,9,12,2,12,14,0,14,14.4
1,5,4,12,15,0,15,17,0,17,17.333333333333332
1,11,1,12,16,1,16,17,1,17,17.266666666666666
1,7,4,15,17,2,17,19,0,19,19.316666666666666
1,10,4,17,18,0,18,20,0,20,20.4
1,12,4,18,19,1,19,21,0,21,21.216666666666665
1,13,1,16,20,2,20,21,1,21,21.45
1,14,4,19,20,0,20,22,0,22,22.2
1,18,1,20,22,1,22,24,0,24,24.2
1,15,4,20,22,2,22,23,0,23,23.166666666666668
1,27,3,21,23,0,23,24,1,24,24.433333333333334
1,22,1,22,25,0,25,27,0,27,27.383333333333333
1,16,4,22,25,1,25,27,1,27,27.3
2,29,0,26,27,0,27,28,0,28,28.433333333333334
2,25,1,25,28,1,28,29,0,29,29.2
2,17,4,25,29,0,29,30,0,30,30.283333333333335
2,32,1,28,30,1,30,32,0,32,32.166666666666664
2,19,4,29,30,2,30,32,1,32,32.18333333333333
2,34,1,30,33,0,33,35,0,35,35.38333333333333
2,20,4,30,33,1,33,34,0,34,34.35
2,35,2,32,33,2,33,34,1,34,34.3
2,36,0,33,34,1,34,36,0,36,36.35
2,21,4,33,37,0,37,38,0,38,38.4
2,23,4,37,39,0,39,40,0,40,40.31666666666667
2,38,1,37,40,1,40,42,0,42,42.28333333333333
2,39,2,37,40,2,40,41,0,41,41.233333333333334
2,40,0,38,40,3,40,41,1,41,41.38333333333333
2,26,4,39,40,0,40,41,2,41,41.416666666666664
2,28,4,40,42,0,42,44,0,44,44.21666666666667
2,30,4,42,43,1,43,44,1,44,44.21666666666667
2,31,4,43,44,0,44,46,0,46,46.483333333333334
2,33,4,44,45,1,45,46,1,46,46.416666666666664
2,43,1,46,47,0,47,49,0,49,49.2
2,37,4,45,48,1,48,50,0,50,50.38333333333333
2,45,2,46,49,2,49,50,1,50,50.2
3,42,4,48,50,0,50,51,0,51,51.483333333333334
