DAY,JOB_ID,ASSIGNED_PRINTER,PRINTING_START,PRINTING_FINISH,ASSIGNED_POSTPROCESS_WORKER,POSTPROCESSING_START,POSTPROCESSING_FINISH,ASSIGNED_PACKAGING_WORKER,PACKAGING_START,PACKAGING_FINISH
1,0,0,0,3,0.0,3.0,4.0,0.0,4.0,4.433333333333334
1,3,2,2,3,1.0,3.0,5.0,0.0,5.0,5.433333333333334
1,2,1,1,4,2.0,4.0,6.0,0.0,6.0,6.3
1,1,4,1,4,3.0,4.0,5.0,1.0,5.0,5.183333333333334
1,4,4,4,7,0.0,7.0,9.0,0.0,9.0,9.383333333333333
1,6,4,7,8,1.0,8.0,10.0,0.0,10.0,10.333333333333334
1,7,4,8,9,0.0,9.0,11.0,0.0,11.0,11.316666666666666
1,8,4,9,10,1.0,10.0,12.0,0.0,12.0,12.383333333333333
1,9,1,10,14,0.0,14.0,15.0,0.0,15.0,15.183333333333334
1,12,2,13,16,0.0,16.0,17.0,0.0,17.0,17.183333333333334
1,10,1,14,17,1.0,17.0,19.0,0.0,19.0,19.183333333333334
1,13,3,14,18,0.0,18.0,19.0,1.0,19.0,19.4
1,14,4,16,19,2.0,19.0,21.0,0.0,21.0,21.25
1,11,1,17,20,0.0,20.0,22.0,0.0,22.0,22.483333333333334
1,15,4,19,20,1.0,20.0,21.0,1.0,21.0,21.216666666666665
1,16,4,20,21,2.0,21.0,22.0,1.0,22.0,22.3
1,19,1,20,24,0.0,24.0,25.0,0.0,25.0,25.483333333333334
1,17,4,21,24,1.0,24.0,26.0,0.0,26.0,26.3
2,18,4,24,25,0.0,25.0,26.0,1.0,26.0,26.483333333333334
1,22,2,22,26,2.0,26.0,27.0,0.0,27.0,27.483333333333334
2,20,4,25,26,1.0,26.0,27.0,1.0,27.0,27.366666666666667
2,27,1,26,28,0.0,28.0,29.0,0.0,29.0,29.35
2,21,4,26,29,1.0,29.0,30.0,0.0,30.0,30.183333333333334
2,28,1,28,30,0.0,30.0,32.0,0.0,32.0,32.166666666666664
2,31,2,28,30,2.0,30.0,32.0,1.0,32.0,32.4
2,29,1,30,31,1.0,31.0,33.0,0.0,33.0,33.3
2,23,4,29,33,0.0,33.0,35.0,0.0,35.0,35.3
2,24,4,33,37,0.0,37.0,39.0,0.0,39.0,39.333333333333336
2,33,2,33,37,1.0,37.0,38.0,0.0,38.0,38.46666666666667
2,35,1,36,38,2.0,38.0,40.0,0.0,40.0,40.416666666666664
2,25,4,37,39,1.0,39.0,41.0,0.0,41.0,41.2
2,26,4,39,43,0.0,43.0,44.0,0.0,44.0,44.28333333333333
2,38,1,40,43,1.0,43.0,44.0,1.0,44.0,44.31666666666667
2,39,2,42,44,2.0,44.0,45.0,0.0,45.0,45.333333333333336
2,32,4,43,44,3.0,44.0,46.0,0.0,46.0,46.45
2,41,1,43,45,0.0,45.0,47.0,0.0,47.0,47.18333333333333
2,40,0,43,46,1.0,46.0,47.0,1.0,47.0,47.31666666666667
2,43,1,45,46,,,,,,
2,44,2,45,46,,,,,,
2,34,4,44,47,,,,,,
